review_scores_rating,name_sentiment,description_sentiment,neighborhood_overview_sentiment,host_duration_years,host_about_sentiment,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_phone_verified,host_email_verified,host_work_email_verified,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,years_since_first_review,years_since_last_review,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,review_sentiment,review_sentiment_average
4.78,2,24,2,12.40821918,20,1,0.99,1,2,2,1,1,-1,1,1,2,0.5,1,2,70,3,1125,3,3,1125,1125,3,1125,1,2,11,18,104,258,31,7,11.7890411,0.306849315,-1,2,0,2,0,1.85,2637,10.30078125
4.79,2,14,36,12.40821918,20,1,0.99,1,2,2,1,1,-1,1,1,2,0.5,1,1,67,3,21,3,3,21,21,3,21,1,3,9,21,110,210,28,4,11.6109589,0.301369863,-1,2,0,2,0,1.53,2184,10.4
4.74,2,13,3,11.50684932,4,1,0.95,-1,3,4,1,1,-1,1,1,1,0.5,1,1,45,2,21,1,2,21,21,2,21,1,1,16,36,290,355,44,6,10.78630137,0.328767123,-1,3,0,3,0,2.78,3087,8.695774648
4.84,0,0,0,11.49863014,0,0.92,0.87,1,2,2,1,1,-1,1,1,6,0.5,2,4,80,1,12,1,1,12,12,1,12,1,2,2,2,74,326,41,1,7.58630137,0.331506849,-1,2,0,2,0,3.68,3104,9.521472393
4.63,0,16,6,11.49041096,17,1,0.91,-1,5,5,1,1,-1,1,1,5,0.5,1,3,251,3,365,3,3,365,365,3,365,1,1,4,21,31,64,17,0,11.1890411,0.506849315,1,5,5,0,0,0.48,454,7.09375
4.69,0,14,0,11.49041096,17,1,0.91,-1,5,5,1,1,-1,1,1,5,0.5,1,3,244,3,365,3,3,365,365,3,365,1,8,12,12,14,76,20,1,10.94520548,0.375342466,1,5,5,0,0,0.59,570,7.5
4.88,0,28,11,11.44657534,6,1,0.96,-1,2,3,1,1,-1,1,1,2,0.5,1,0,80,2,4,2,2,4,4,2,4,1,0,0,0,0,313,0,0,10.32328767,1.364383562,-1,2,1,1,0,2.57,4374,13.97444089
4.6,0,9,8,11.62191781,25,1,0.67,-1,2,6,1,1,-1,1,1,1,0.5,1,1,139,1,1125,1,1,1125,1125,1,1125,1,2,2,2,2,50,0,0,11.37534247,3.62739726,-1,2,0,2,0,0.37,590,11.8
4.56,0,12,1,11.24657534,0,1,0.92,-1,3,5,1,1,-1,1,1,2,0.5,1,3,68,1,4,1,1,4,4,1,4,1,4,22,50,135,392,90,8,11.03013699,0.309589041,-1,3,3,0,0,3,2176,5.565217391
4.93,0,0,3,11.21917808,-3,1,0.57,1,1,2,1,1,-1,1,-1,1,0.5,1,1,30,30,180,30,30,180,180,30,180,1,4,4,14,47,43,3,0,10.32876712,0.498630137,-1,1,0,1,0,0.35,491,11.41860465
4.92,0,11,11,11.04109589,5,1,0.91,1,1,1,1,1,1,1,1,9,0.5,4,5,121,2,1125,2,2,1125,1125,2,1125,1,0,0,0,25,362,30,0,10.33150685,0.4,-1,1,1,0,0,2.97,5114,14.16620499
4.67,4,16,11,11,0,1,0.99,-1,8,8,1,1,-1,1,1,5,0.5,1,3,200,2,365,2,5,365,365,3,365,1,4,8,15,227,59,4,0,10.82739726,0.580821918,1,8,8,0,0,0.46,534,9.050847458
4.61,0,14,11,11,0,1,0.99,-1,8,8,1,1,-1,1,1,2,0.5,1,2,101,2,365,2,5,365,365,3,365,1,0,0,0,0,105,21,4,10.84383562,0.301369863,1,8,8,0,0,0.82,774,7.442307692
4.48,1,19,12,11.49041096,17,1,0.91,-1,5,5,1,1,-1,1,1,4,0.5,1,3,212,3,365,3,3,365,365,3,365,1,0,7,21,90,35,7,1,10.50136986,0.375342466,1,5,5,0,0,0.28,238,6.8
4.67,0,12,0,10.79726027,1,0,0,-1,2,2,1,1,-1,1,1,4,0.5,2,2,164,1,30,1,2,30,30,1.6,30,1,0,0,0,0,92,0,0,10.38630137,3.049315068,-1,2,2,0,0,0.75,1045,11.35869565
4.87,0,8,18,10.7890411,20,0,0,-1,1,3,1,1,1,1,1,6,0.5,3,3,180,3,1125,3,3,1125,1125,3,1125,1,0,0,0,0,72,0,0,10.40273973,5.78630137,-1,1,1,0,0,0.59,987,13.90140845
4.8,4,15,11,11,0,1,0.99,-1,8,8,1,1,-1,1,1,6,0.5,1,3,240,2,365,2,5,365,365,3,365,1,9,19,33,255,145,41,1,10.1890411,0.361643836,1,8,8,0,0,1.2,1227,8.462068966
4.84,0,13,16,10.72876712,12,0.96,0.95,1,4,5,1,1,-1,1,1,3,0.5,1,1,155,2,1124,1,2,1124,1124,2,1124,1,4,9,33,114,519,72,4,10.54246575,0.339726027,-1,4,4,0,0,4.16,6225,12.01737452
4.61,0,11,3,11.50684932,4,1,0.95,-1,3,4,1,1,-1,1,1,3,0.5,1,2,60,3,21,1,3,21,21,3,21,1,6,16,25,28,254,15,5,10.52328767,0.301369863,-1,3,0,3,0,2.04,1797,7.07480315
4.84,0,16,6,10.72876712,12,0.96,0.95,1,4,5,1,1,-1,1,1,3,0.5,1,2,154,2,1124,1,2,1124,1124,2,1124,1,1,9,26,111,498,57,4,10.67123288,0.353424658,-1,4,4,0,0,3.95,5893,11.83333333
4.59,3,16,6,11.50684932,4,1,0.95,-1,3,4,1,1,-1,1,1,2,0.5,3,1,60,3,21,1,3,21,21,3,21,1,3,11,27,299,176,13,8,10.33424658,0.304109589,-1,3,0,3,0,1.44,1426,8.102272727
4.19,0,5,0,10.68493151,2,1,0.72,-1,1,4,1,1,-1,1,1,4,0.5,1,3,155,1,1125,1,1,1125,1125,1,1125,1,11,21,47,317,271,51,6,9.421917808,0.339726027,-1,1,0,1,0,2.44,1125,4.166666667
4.67,2,21,6,11.85479452,13,1,0.88,1,4,4,1,1,1,1,-1,3,0.5,1,2,132,3,1125,2,3,1125,1125,3,1125,1,1,1,1,1,93,20,3,5.528767123,0.304109589,-1,3,2,1,0,1.46,710,7.634408602
4.7,0,9,4,10.7260274,9,1,1,1,2,3,1,1,-1,1,1,5,0.5,2,3,70,1,21,1,1,1125,1125,1,1125,1,4,20,49,279,296,82,10,10.32876712,0.304109589,1,2,0,2,0,2.42,2910,9.897959184
4.62,0,15,4,11.62191781,25,1,0.67,-1,2,6,1,1,-1,1,1,2,0.5,1,1,139,1,7,1,1,7,7,1,7,1,2,2,2,2,113,0,0,10.3260274,3.432876712,-1,2,0,2,0,0.93,893,7.902654867
4.81,3,8,6,10.72876712,12,0.96,0.95,1,4,5,1,1,-1,1,1,3,0.5,1,1,153,2,1124,1,2,1124,1124,2,1124,1,4,14,36,123,430,53,4,10.52054795,0.350684932,-1,4,4,0,0,3.46,5217,12.13255814
4.9,0,41,13,10.64657534,0,1,1,1,3,4,1,1,1,1,1,3,0.5,0,2,194,1,60,1,4,3,1125,2.9,1079.5,1,1,6,12,197,568,51,3,10.3260274,0.320547945,-1,1,1,0,0,4.65,6614,11.6443662
4.98,0,24,0,10.47945205,20,1,0.86,1,2,2,1,1,-1,1,1,2,0.5,1,1,80,2,7,2,2,7,7,2,7,1,0,0,0,117,220,28,5,10.29041096,0.309589041,-1,1,0,1,0,1.81,3090,14.04545455
4.9,0,2,0,10.7260274,9,1,1,1,2,3,1,1,-1,1,1,1,0.5,1,1,55,1,5,1,1,5,5,1,5,1,4,20,49,279,42,17,1,10.32876712,0.347945205,-1,2,0,2,0,0.34,471,11.21428571
4.82,3,14,4,11.56438356,0,0,0,-1,1,2,1,-1,-1,1,1,4,0.5,2,2,150,2,1125,2,2,1125,1125,2,1125,1,0,0,0,0,61,0,0,10.36164384,3.775342466,-1,1,1,0,0,0.5,492,8.06557377
4.5,3,9,0,10.40547945,0,0,0,-1,1,1,1,1,1,1,1,2,0.5,1,1,119,7,60,7,7,60,60,7,60,1,0,0,0,0,158,0,0,10.19452055,4.216438356,-1,1,1,0,0,1.31,1557,9.85443038
4.53,0,2,0,10.39726027,3,0,0,-1,2,2,1,1,-1,1,1,2,0.5,1,1,85,2,1125,2,2,1125,1125,2,1125,1,0,0,0,0,46,0,0,8.419178082,6.282191781,-1,2,1,1,0,0.47,414,9
4.78,0,13,5,10.38630137,7,1,0.97,1,2,3,1,1,-1,1,1,4,0.5,2,3,356,3,150,1,3,150,150,2,150,1,6,12,27,251,538,50,3,10.3260274,0.334246575,-1,2,2,0,0,4.41,5947,11.05390335
4.9,0,19,12,10.30958904,36,1,0.81,-1,1,4,1,1,1,1,1,4,0.5,2,2,341,5,180,5,5,1125,1125,5,1125,1,2,2,2,250,216,5,2,9.542465753,0.336986301,1,1,1,0,0,1.92,2586,11.97222222
4.9,3,20,3,10.24383562,0,1,0.97,1,1,1,1,1,-1,1,1,3,0.5,1,3,113,3,1125,3,3,1125,1125,3,1125,1,7,21,45,175,164,20,0,9.287671233,0.410958904,-1,1,1,0,0,1.5,2067,12.60365854
4.33,0,2,0,10.24383562,0,1,0.63,1,9,12,1,1,-1,1,1,5,0.5,3,5,125,7,180,7,7,180,180,7,180,1,0,0,0,0,3,0,0,7.339726027,5.328767123,-1,1,1,0,0,0.04,25,8.333333333
4.52,0,3,0,10.26575342,13,0.6,0.41,-1,1,6,1,1,-1,1,1,2,0.5,1,1,80,14,30,14,14,30,30,14,30,1,0,12,42,289,74,3,0,10.18630137,0.534246575,-1,1,0,1,0,0.61,584,7.891891892
4.67,2,15,0,10.22191781,10,1,0.98,-1,16,43,1,-1,-1,1,1,4,0.5,2,1,116,28,365,28,28,365,365,28,365,1,0,0,0,0,7,0,0,8.75890411,7.408219178,1,11,11,0,0,0.07,63,9
4.58,0,12,8,10.2109589,1,0.94,0.86,-1,2,2,1,1,-1,1,1,2,0.5,1,1,65,2,1001,2,2,1001,1001,2,1001,1,2,10,26,96,368,40,4,8.893150685,0.350684932,-1,2,0,2,0,3.52,3132,8.510869565
4.75,0,0,-1,10.20821918,4,0,0.25,-1,2,2,1,1,1,1,-1,2,0.5,1,1,140,2,1125,2,2,1125,1125,2,1125,1,0,0,0,0,5,1,0,8.775342466,0.569863014,-1,2,0,2,0,0.05,44,8.8
